date,value
2021-05-19,105326
2021-05-20,105645
2021-05-21,105971
2021-05-22,106713
2021-05-23,107187
2021-05-24,107798
2021-05-25,108356
2021-05-26,109010
2021-05-27,109688
2021-05-28,110260
2021-05-29,110764
2021-05-30,111146
2021-05-31,111523
2021-06-01,111884
2021-06-02,112457
2021-06-03,113066
2021-06-04,113564
2021-06-05,114105
2021-06-06,114667
2021-06-07,114691
2021-06-08,114928
2021-06-09,115217
2021-06-10,115498
2021-06-11,115815
2021-06-12,116103
2021-06-13,116301
2021-06-14,116507
2021-06-15,116663
2021-06-16,116853
2021-06-17,117050
2021-06-18,117269
2021-06-19,117421
2021-06-20,117548
2021-06-21,117649
2021-06-22,117758
2021-06-23,117879
2021-06-24,118040
2021-06-25,118145
2021-06-26,118241
2021-06-27,118358
2021-06-28,118439
2021-06-29,118503
2021-06-30,118572
2021-07-01,118644
2021-07-02,118736
2021-07-03,118832
2021-07-04,118896
2021-07-05,118949
2021-07-06,119036
2021-07-07,119094
2021-07-08,119141
2021-07-09,119204
2021-07-10,119262
2021-07-11,119321
2021-07-12,119374
2021-07-13,119427
2021-07-14,119485
2021-07-15,119539
2021-07-16,119602
2021-07-17,119647
2021-07-18,119698
2021-07-19,119784
2021-07-20,119837
2021-07-21,119918
2021-07-22,120000
2021-07-23,120061
2021-07-24,120120
2021-07-25,120213
2021-07-26,120295
2021-07-27,120399
2021-07-28,120469
2021-07-29,120553
2021-07-30,120635
2021-07-31,120722
2021-08-01,120837
2021-08-02,120944
2021-08-03,121067
2021-08-04,121175
2021-08-05,121316
2021-08-06,121437
2021-08-07,121550
2021-08-08,121684
2021-08-09,121837
2021-08-10,121960
2021-08-11,122058
2021-08-12,122168
2021-08-13,122255
2021-08-14,122317
2021-08-15,122378
2021-08-16,122433
2021-08-17,122482
2021-08-18,122542
2021-08-19,122586
2021-08-20,122617
2021-08-21,122662
2021-08-22,122698
2021-08-23,122744
2021-08-24,122777
2021-08-25,122809
2021-08-26,122852
2021-08-27,122897
2021-08-28,122942
2021-08-29,122995
2021-08-30,123043
2021-08-31,123068
2021-09-01,123103
2021-09-02,123131
2021-09-03,123169
2021-09-04,123199
2021-09-05,123231
2021-09-06,123285
2021-09-07,123322
2021-09-08,123361
2021-09-09,123386
2021-09-10,123423
2021-09-11,123478
2021-09-12,123544
2021-09-13,123642
2021-09-14,123722
2021-09-15,123808
2021-09-16,123904
2021-09-17,123961
2021-09-18,124038
2021-09-19,124102
2021-09-20,124185
2021-09-21,124232
2021-09-22,124283
2021-09-23,124348
2021-09-24,124401
2021-09-25,124444
2021-09-26,124495
2021-09-27,124538
2021-09-28,124591
2021-09-29,124629
2021-09-30,124673
2021-10-01,124729
2021-10-02,124772
2021-10-03,124805
2021-10-04,124843
2021-10-05,124884
2021-10-06,124920
2021-10-07,124954
2021-10-08,124987
2021-10-09,125023
2021-10-10,125055
2021-10-11,125085
2021-10-12,125115
2021-10-13,125143
2021-10-14,125162
2021-10-15,125189
2021-10-16,125226
2021-10-17,125254
2021-10-18,125284
2021-10-19,125322
2021-10-20,125351
2021-10-21,125402
2021-10-22,125462
2021-10-23,125518
2021-10-24,125565
2021-10-25,125620
2021-10-26,125686
2021-10-27,125738
2021-10-28,125810
2021-10-29,125898
2021-10-30,125979
2021-10-31,126078
2021-11-01,126155
2021-11-02,126270
2021-11-03,126384
2021-11-04,126471
2021-11-05,126534
2021-11-06,126616
2021-11-07,126710
2021-11-08,126775
2021-11-09,126836
2021-11-10,126908
2021-11-11,127018
2021-11-12,127104
2021-11-13,127199
2021-11-14,127260
2021-11-15,127297
2021-11-16,127331
2021-11-17,127374
2021-11-18,127405
2021-11-19,127439
2021-11-20,127463
2021-11-21,127512
2021-11-22,127537
2021-11-23,127572
2021-11-24,127602
2021-11-25,127631
2021-11-26,127672
2021-11-27,127710
2021-11-28,127764
2021-11-29,127814
2021-11-30,127938
2021-12-01,128022
2021-12-02,128141
2021-12-03,128245
2021-12-04,128319
2021-12-05,128393
2021-12-06,128502
2021-12-07,128602
2021-12-08,128690
2021-12-09,128777
2021-12-10,128884
2021-12-11,128970
2021-12-12,129082
2021-12-13,129165
2021-12-14,129247
2021-12-15,129332
2021-12-16,129430
2021-12-17,129577
2021-12-18,129678
2021-12-19,129794
2021-12-20,129893
2021-12-21,129988
2021-12-22,130109
2021-12-23,130211
2021-12-24,130376
2021-12-25,130625
2021-12-26,130858
2021-12-27,131093
2021-12-28,131315
2021-12-29,131548
2021-12-30,131780
2021-12-31,132071
